asset,group
HYG,bonds_credit
LQD,bonds_credit
IEF,bonds_rates
SHY,bonds_rates
TIP,bonds_rates
TLT,bonds_rates
DBA,commodities
DBC,commodities
GLD,commodities
SLV,commodities
ACTG,consumer_discretionary
AIOT,consumer_discretionary
AMPG,consumer_discretionary
AMZN,consumer_discretionary
APPS,consumer_discretionary
ARES,consumer_discretionary
AXON,consumer_discretionary
BKNG,consumer_discretionary
BWEN,consumer_discretionary
BX,consumer_discretionary
CABO,consumer_discretionary
CELH,consumer_discretionary
CHTR,consumer_discretionary
CMG,consumer_discretionary
CPRT,consumer_discretionary
CTLP,consumer_discretionary
CXDO,consumer_discretionary
DHI,consumer_discretionary
EBAY,consumer_discretionary
EL,consumer_discretionary
EXAS,consumer_discretionary
EXTR,consumer_discretionary
FRPT,consumer_discretionary
HD,consumer_discretionary
ILMN,consumer_discretionary
INSG,consumer_discretionary
INSM,consumer_discretionary
IRDM,consumer_discretionary
JYNT,consumer_discretionary
KKR,consumer_discretionary
LBRDA,consumer_discretionary
LBRDK,consumer_discretionary
LOW,consumer_discretionary
LTRX,consumer_discretionary
NKE,consumer_discretionary
NTRA,consumer_discretionary
PAR,consumer_discretionary
PLUG,consumer_discretionary
REFR,consumer_discretionary
RUN,consumer_discretionary
SAM,consumer_discretionary
SBUX,consumer_discretionary
TBCH,consumer_discretionary
TGT,consumer_discretionary
TREX,consumer_discretionary
TSLA,consumer_discretionary
WBD,consumer_discretionary
CAG,consumer_staples
CALM,consumer_staples
CL,consumer_staples
COKE,consumer_staples
COST,consumer_staples
CPB,consumer_staples
DG,consumer_staples
FIZZ,consumer_staples
FLO,consumer_staples
GIS,consumer_staples
HRL,consumer_staples
HSY,consumer_staples
IMKTA,consumer_staples
KHC,consumer_staples
KMB,consumer_staples
KO,consumer_staples
KR,consumer_staples
MDLZ,consumer_staples
MKC,consumer_staples
MNST,consumer_staples
MO,consumer_staples
MZTI,consumer_staples
PEP,consumer_staples
PG,consumer_staples
PM,consumer_staples
POST,consumer_staples
RSG,consumer_staples
SFM,consumer_staples
SJM,consumer_staples
STZ,consumer_staples
TR,consumer_staples
VZ,consumer_staples
BTC-USD,crypto
ETH-USD,crypto
APA,energy
AR,energy
ARLP,energy
BSM,energy
CHRD,energy
CLMT,energy
CNX,energy
COP,energy
CQP,energy
CRK,energy
CTRA,energy
CVI,energy
CVX,energy
DINO,energy
DVN,energy
EOG,energy
EPD,energy
EQT,energy
ET,energy
FANG,energy
HAL,energy
HP,energy
KMI,energy
LNG,energy
LXU,energy
MPC,energy
MPLX,energy
MTDR,energy
MUR,energy
OII,energy
OKE,energy
OXY,energy
PAA,energy
PBF,energy
PSX,energy
PTEN,energy
RRC,energy
SM,energy
SUN,energy
TPL,energy
TRGP,energy
USO,energy
VLO,energy
VNOM,energy
WES,energy
XLE,energy
ABEV3.SA,equities_br_bluechips
B3SA3.SA,equities_br_bluechips
BBAS3.SA,equities_br_bluechips
BBDC4.SA,equities_br_bluechips
BPAC11.SA,equities_br_bluechips
BRKM5.SA,equities_br_bluechips
CMIG4.SA,equities_br_bluechips
CSAN3.SA,equities_br_bluechips
CSNA3.SA,equities_br_bluechips
CYRE3.SA,equities_br_bluechips
ENEV3.SA,equities_br_bluechips
EQTL3.SA,equities_br_bluechips
FLRY3.SA,equities_br_bluechips
GGBR4.SA,equities_br_bluechips
GOAU4.SA,equities_br_bluechips
HAPV3.SA,equities_br_bluechips
IGTI11.SA,equities_br_bluechips
ITUB4.SA,equities_br_bluechips
KLBN11.SA,equities_br_bluechips
LREN3.SA,equities_br_bluechips
MRVE3.SA,equities_br_bluechips
MULT3.SA,equities_br_bluechips
PCAR3.SA,equities_br_bluechips
PETR4.SA,equities_br_bluechips
PRIO3.SA,equities_br_bluechips
RADL3.SA,equities_br_bluechips
RAIL3.SA,equities_br_bluechips
RENT3.SA,equities_br_bluechips
SUZB3.SA,equities_br_bluechips
TIMS3.SA,equities_br_bluechips
UGPA3.SA,equities_br_bluechips
